date	open	high	low	close	adjClose	volume	unadjustedVolume	change	changePercent	vwap	label	changeOverTime
2022-03-03	242.62	243.26	234.69	237.14	236.84	36509504	36509504	-5.48	-2.26	239.4275	March 03, 22	-0.0226
2022-03-04	233.84	236.8	224.82	229.36	229.07	43201070	43201070	-4.48	-1.92	231.205	March 04, 22	-0.0192
2022-03-07	228.17	230.33	213.3	213.52	213.25	45082089	45082089	-14.65	-6.42	221.33	March 07, 22	-0.0642
2022-03-08	213.09	223.73	206.5	215.14	214.87	55746719	55746719	2.05	0.96203	214.615	March 08, 22	0.0096203
2022-03-09	223.87	232.2	222.47	230.14	229.85	49274195	49274195	6.27	2.8	227.17	March 09, 22	0.028
2022-03-10	225.31	227.88	218.82	226.58	226.3	42806565	42806565	1.27	0.56367	224.6475	March 10, 22	0.0056367
2022-03-11	230.22	231.45	220.46	221.0	220.72	36720857	36720857	-9.22	-4.0	225.7825	March 11, 22	-0.04
2022-03-14	218.69	222.62	211.59	213.3	213.03	38535424	38535424	-5.39	-2.46	216.55	March 14, 22	-0.0246
2022-03-15	215.18	230.38	213.22	229.73	229.44	49199569	49199569	14.55	6.76	222.1275	March 15, 22	0.0676
2022-03-16	235.0	245.97	231.72	244.96	244.65	67142174	67142174	9.96	4.24	239.4125	March 16, 22	0.0424
2022-03-17	241.2	248.42	239.06	247.66	247.35	47194119	47194119	6.46	2.68	244.085	March 17, 22	0.0268
2022-03-18	247.99	265.69	246.24	264.53	264.2	73071856	73071856	16.54	6.67	256.1125	March 18, 22	0.0667
2022-03-21	265.07	271.52	259.67	267.34	267.0	59172708	59172708	2.27	0.85638	265.9	March 21, 22	0.0085638
2022-03-22	267.27	272.38	260.72	265.24	264.91	54700710	54700710	-2.03	-0.75953	266.4025	March 22, 22	-0.0075953
2022-03-23	261.26	266.12	255.75	256.34	256.02	50211986	50211986	-4.92	-1.88	259.8675	March 23, 22	-0.0188
